id	action	attribute	value
nmdc:omprc-11-07jg9980	update	has_output	nmdc:dobj-11-d4qdbq55
nmdc:omprc-11-1zw3ez08	update	has_output	nmdc:dobj-11-6n49rm30
nmdc:omprc-11-3a8sb985	update	has_output	nmdc:dobj-11-5bdpnq27
nmdc:omprc-11-3mbk2q18	update	has_output	nmdc:dobj-11-r03nbg69
nmdc:omprc-11-3wsn0s07	update	has_output	nmdc:dobj-11-ap9bg907
nmdc:omprc-11-4a8d5j62	update	has_output	nmdc:dobj-11-vs45wb84
nmdc:omprc-11-4xyj5b22	update	has_output	nmdc:dobj-11-t07ryb39
nmdc:omprc-11-5svnja50	update	has_output	nmdc:dobj-11-agsd2f41
nmdc:omprc-11-5yj1dd81	update	has_output	nmdc:dobj-11-tgsasn46
nmdc:omprc-11-6vefsz40	update	has_output	nmdc:dobj-11-mz0d0076
nmdc:omprc-11-6ygpws48	update	has_output	nmdc:dobj-11-zd25ft61
nmdc:omprc-11-793vc240	update	has_output	nmdc:dobj-11-76xdx588
nmdc:omprc-11-87bntc15	update	has_output	nmdc:dobj-11-ms76kj12
nmdc:omprc-11-970xc869	update	has_output	nmdc:dobj-11-zv2mke38
nmdc:omprc-11-a45ncw83	update	has_output	nmdc:dobj-11-tezmee57
nmdc:omprc-11-av32k402	update	has_output	nmdc:dobj-11-k9e5nm54
nmdc:omprc-11-bnrw2r65	update	has_output	nmdc:dobj-11-wgqh5s45
nmdc:omprc-11-cty5ax47	update	has_output	nmdc:dobj-11-rrmg7w64
nmdc:omprc-11-dhmqjx65	update	has_output	nmdc:dobj-11-wtsjqv17
nmdc:omprc-11-eft0mp09	update	has_output	nmdc:dobj-11-erc74h90
nmdc:omprc-11-evnx4a83	update	has_output	nmdc:dobj-11-mzxj8743
nmdc:omprc-11-gp3et725	update	has_output	nmdc:dobj-11-xmvv4977
nmdc:omprc-11-hs4k0380	update	has_output	nmdc:dobj-11-e2309414
nmdc:omprc-11-m926kb51	update	has_output	nmdc:dobj-11-xy4hz717
nmdc:omprc-11-mkam5c55	update	has_output	nmdc:dobj-11-hp2vmj63
nmdc:omprc-11-qn780a74	update	has_output	nmdc:dobj-11-xvmb4058
nmdc:omprc-11-qxt63828	update	has_output	nmdc:dobj-11-rqssmk98
nmdc:omprc-11-r0hzrh88	update	has_output	nmdc:dobj-11-4kwfhk83
nmdc:omprc-11-shwfms36	update	has_output	nmdc:dobj-11-fn371w16
nmdc:omprc-11-sqhqwq89	update	has_output	nmdc:dobj-11-32dr2y07
nmdc:omprc-11-w693w477	update	has_output	nmdc:dobj-11-35xc2b05
nmdc:omprc-11-yx0zqm32	update	has_output	nmdc:dobj-11-qtxceg35
nmdc:omprc-11-z841e208	update	has_output	nmdc:dobj-11-steksn39